ChargingCC,MovementType,ReceivingLoc,Material Number,CreatedOn,ReserveQty,MaterialTypeCode
83070101,311,LSI-LSI,ZMZ003145GBA,1/2/23 1:28,105000,XZDRMY
83070101,311,LSI-LSI,ZMZ003145GBA,1/2/23 1:28,105000,XZDRMY
83070101,311,LSI-LSI,ZMZ003145GBA,1/2/23 1:28,105000,XZDRMY
83070101,311,LSI-LSI,ZMZ003147GBA,1/2/23 1:28,14000,XZDRMY
83070101,311,LSI-LSI,ZMZ003147GBA,1/2/23 1:28,14000,XZDRMY
83070101,311,LSI-LSI,ZMZ003147GBA,1/2/23 1:28,14000,XZDRMY
83070101,311,LSI-LSI,ZMX006053GAB,1/2/23 1:28,24000,XZDRMY
83070101,311,LSI-LSI,ZMX006053GAB,1/2/23 1:28,24000,XZDRMY
83070101,311,LSI-LSI,ZMX006053GAB,1/2/23 1:28,24000,XZDRMY
83070101,311,LSI-LSI,ZMX007003GBA,1/2/23 1:28,76800,XZDRMY
83070101,311,LSI-LSI,ZMX007003GBA,1/2/23 1:28,76800,XZDRMY
83070101,311,LSI-LSI,ZMX007003GBA,1/2/23 1:28,76800,XZDRMY
83070101,311,LSI-LSI,ZMX007016GAA,1/2/23 1:28,28320,XZDRMY
83070101,311,LSI-LSI,ZMX007016GAA,1/2/23 1:28,28320,XZDRMY
83070101,311,LSI-LSI,ZMX007016GAA,1/2/23 1:28,28320,XZDRMY
83070101,311,LSI-LSI,ZMX007015GAA,1/2/23 1:28,76800,XZDRMY
83070101,311,LSI-LSI,ZMX007015GAA,1/2/23 1:28,76800,XZDRMY
83070101,311,LSI-LSI,ZMX007015GAA,1/2/23 1:28,76800,XZDRMY
83070101,311,LSI-LSI,DQENCMCD0012A,1/2/23 1:31,125000,XZDRMY
83070101,311,LSI-LSI,DQENCMCD0012A,1/2/23 1:31,125000,XZDRMY
83070101,311,LSI-LSI,DQENCMCD0012A,1/2/23 1:31,125000,XZDRMY
83070101,311,LSI-LSI,SKSA3200301A,1/2/23 10:11,50000,XZDRMY
83070101,311,LSI-LSI,SKSA3200301A,1/2/23 10:11,50000,XZDRMY
83070101,311,LSI-LSI,SKSA3200301A,1/2/23 10:11,50000,XZDRMY
83070101,311,LSI-LSI,SKSB540020AA,1/2/23 10:11,75000,XZDRMY
83070101,311,LSI-LSI,SKSB540020AA,1/2/23 10:11,75000,XZDRMY
83070101,311,LSI-LSI,SKSB540020AA,1/2/23 10:11,75000,XZDRMY
83070101,311,LSI-LSI,SKSA440180AA,1/2/23 10:11,12500,XZDRMY
83070101,311,LSI-LSI,SKSA440180AA,1/2/23 10:11,12500,XZDRMY
83070101,311,LSI-LSI,SKSA440180AA,1/2/23 10:11,12500,XZDRMY
86070000,201,,SPCC001300AA,1/2/23 14:50,2500,XZIDMY
86070000,201,,SPCC001300AA,1/2/23 14:50,2500,XZIDMY
86070000,201,,SPCC001300AA,1/2/23 14:50,2500,XZIDMY
83070101,311,LSI-LSI,ZMZ003145GBA,1/3/23 3:53,105000,XZDRMY
83070101,311,LSI-LSI,ZMZ003145GBA,1/3/23 3:53,105000,XZDRMY
83070101,311,LSI-LSI,ZMZ003145GBA,1/3/23 3:53,105000,XZDRMY
83070101,311,LSI-LSI,ZMX006053GAB,1/3/23 3:53,48000,XZDRMY
83070101,311,LSI-LSI,ZMX006053GAB,1/3/23 3:53,48000,XZDRMY
83070101,311,LSI-LSI,ZMX006053GAB,1/3/23 3:53,48000,XZDRMY
83070101,311,LSI-LSI,DM-LF-006-025-0,1/3/23 3:53,300000,XZDRMY
83070101,311,LSI-LSI,DM-LF-006-025-0,1/3/23 3:53,300000,XZDRMY
83070101,311,LSI-LSI,DM-LF-006-025-0,1/3/23 3:53,300000,XZDRMY
83070101,311,LSI-LSI,ZMX007003GBA,1/3/23 3:53,115200,XZDRMY
83070101,311,LSI-LSI,ZMX007003GBA,1/3/23 3:53,115200,XZDRMY
